,AOD047,AOD055,BLUE,EVI,GREEN,NDVI,NIGHTLIGHTS,NIR,RED,SWIR1,SWIR2,TEMP1,age_struct_child,age_struct_middle,age_struct_old,age_struct_young,aspect,elevation,male,osm,pr,slope,tmmn,tmmx,viirs_v2
SWIR2,-0.20935654051487476,-0.05255260621967324,0.8626878761611163,-0.45612649801684507,0.9171761200865972,-0.5538417551196674,-0.023513461045050862,0.6801612057536652,0.9514011638520066,0.9738849987378269,1.0,0.6253319494469823,-0.014118787859382555,-0.04585239526125042,-0.06304653082917161,-0.04107326350484468,-0.015117250664039994,0.37393000482106026,-0.03536473738054557,0.054338354577439206,-0.6405941798368313,-0.1709207161200825,-0.4057733571359817,0.6819520447257083,-0.026615669882528274
TEMP1,-0.2077971081834282,-0.1074464591910043,0.5195928933651448,-0.3909717711795766,0.5539355942563454,-0.4353656600544928,0.011539754474058694,0.3069984529422355,0.5891635927029726,0.5962426941776398,0.6253319494469823,1.0,0.09238597463361223,0.06734190696109908,0.05729022352206181,0.06982008669143794,-0.006784029479344191,0.2755181851002647,0.07555435739391164,0.04663016353774531,-0.5368182070026211,-0.09981350191033679,-0.2520784275332338,0.5110503198482754,0.006698713398853223
age_struct_child,0.14748734559650525,0.11981425088277876,0.09382835438760388,-0.4047711638988504,0.0472802963517993,-0.3768523393735236,0.19412931646173823,-0.2669968661449019,0.01800654651097909,-0.11488513185621844,-0.014118787859382555,0.09238597463361223,1.0,0.9614403485838513,0.9408172524181114,0.9918555517619819,0.0018884476554567936,-0.09312055962513832,0.988140648673242,0.019788120582363324,0.02690434992930741,-0.03524207751659708,0.20408285489443212,-0.04565839108964576,0.1993355046130224
age_struct_middle,0.18641933602905933,0.14223531201373052,0.05930612128551556,-0.3887783908767513,0.00502965741271854,-0.3584297495009833,0.2033131928312638,-0.29813425117739856,-0.02175695261330704,-0.14539924106723573,-0.04585239526125042,0.06734190696109908,0.9614403485838513,1.0,0.9674439839844351,0.9740255517531237,0.003573930502283293,-0.15270390673693843,0.9903987180219092,0.01657078492455731,0.07393501070434358,-0.028696405775922276,0.2786691268371359,-0.10099973333066194,0.20717609206680557
age_struct_old,0.20778674017118945,0.16294726214681907,0.039564057389313186,-0.38062871069153925,-0.013586731623273247,-0.347018299245554,0.18555510419087481,-0.31189180501804686,-0.038383443334763206,-0.1637816571071612,-0.06304653082917161,0.05729022352206181,0.9408172524181114,0.9674439839844351,1.0,0.957557142661833,0.008236936438087145,-0.1514951481945149,0.9622056948644272,0.01865818355275346,0.08572967177097525,-0.023776833100807977,0.2683061959440562,-0.11257832827568567,0.19050004954728075
age_struct_young,0.167468646742641,0.1331835261730992,0.0698889550911219,-0.3911168827377798,0.018954672909636164,-0.3595903472615945,0.19266093329318829,-0.28967233631598277,-0.010268318747929743,-0.14169382266628655,-0.04107326350484468,0.06982008669143794,0.9918555517619819,0.9740255517531237,0.957557142661833,1.0,0.0037823006421495546,-0.1192080308997583,0.9938936922936438,0.018425296770927406,0.06601217311098737,-0.031498750405817295,0.23017445010938137,-0.08037350365136989,0.19774247873627934
aspect,0.015168771788495666,0.010828701695414982,-0.042235528093521,0.0534130670199729,-0.041933407024295544,0.055753716404305875,-0.0016451844961492869,-0.00020260009867308123,-0.03561652502694141,-0.011033923748636007,-0.015117250664039994,-0.006784029479344191,0.0018884476554567936,0.003573930502283293,0.008236936438087145,0.0037823006421495546,1.0,0.0012372437164654723,0.0027540965823163012,0.020761974117753223,0.006984848245595074,0.11221225798296876,0.014093616415139988,-0.019307393333558406,-0.0028326706482534984
elevation,-0.38089440020502285,-0.286079445310705,0.236980655108753,-0.03752720097898383,0.30043558670425013,-0.07149288592759231,-0.05135019916725956,0.3117209153748027,0.3491723880875627,0.39693225769752954,0.37393000482106026,0.2755181851002647,-0.09312055962513832,-0.15270390673693843,-0.1514951481945149,-0.1192080308997583,0.0012372437164654723,1.0,-0.12790688112536727,0.04955358507691835,-0.4870666183776831,0.15150096476325936,-0.90087197249183,-0.012829415961917022,-0.05041966519669382
male,0.17075550549370586,0.1339564411566481,0.07332634191246061,-0.39554129900962265,0.02178940972436442,-0.36575205527728794,0.2011434324689949,-0.2871065403541436,-0.006904420483904499,-0.13573482851081448,-0.03536473738054557,0.07555435739391164,0.988140648673242,0.9903987180219092,0.9622056948644272,0.9938936922936438,0.0027540965823163012,-0.12790688112536727,1.0,0.017695893332600444,0.05805863009357633,-0.03169170723041084,0.24638936444038792,-0.07893911053848277,0.2057281784046004
osm,0.02366875701216259,0.03072145697194148,0.021609889239136197,0.04598748147178867,0.028569843000980182,0.03560184081969947,0.0021951823299971697,0.0685784038138282,0.035042493786469744,0.06501720032812545,0.054338354577439206,0.04663016353774531,0.019788120582363324,0.01657078492455731,0.01865818355275346,0.018425296770927406,0.020761974117753223,0.04955358507691835,0.017695893332600444,1.0,-0.09878953956396916,0.018762826824108073,-0.003702963583282142,0.06354087030904598,0.0032418559090844233
pr,0.3163297663767161,0.20443302880312791,-0.4676400617261037,0.19813266410814173,-0.5366548225956335,0.30330933197479243,0.04463664798066462,-0.5017894399953405,-0.5909312385583163,-0.6669967613313169,-0.6405941798368313,-0.5368182070026211,0.02690434992930741,0.07393501070434358,0.08572967177097525,0.06601217311098737,0.006984848245595074,-0.4870666183776831,0.05805863009357633,-0.09878953956396916,1.0,0.026644829900277493,0.47920150512305687,-0.6050957162018887,0.044015916622996344
slope,-0.006216593459366822,-0.026319193771553992,-0.21156158502253833,0.2121864927687701,-0.208103798642651,0.2344502919160226,-0.01593908304075941,-0.10040328109002539,-0.19629376402902501,-0.15177224962630959,-0.1709207161200825,-0.09981350191033679,-0.03524207751659708,-0.028696405775922276,-0.023776833100807977,-0.031498750405817295,0.11221225798296876,0.15150096476325936,-0.03169170723041084,0.018762826824108073,0.026644829900277493,1.0,-0.07531932525128808,-0.18840569315565805,-0.012688899199001223
tmmn,0.35149119602032197,0.23669005680884792,-0.2929870966983443,-0.0075170954519739675,-0.3586613610610132,0.04601278993795594,0.09289672571405495,-0.4106558237813019,-0.3929353904000744,-0.4422152331267372,-0.4057733571359817,-0.2520784275332338,0.20408285489443212,0.2786691268371359,0.2683061959440562,0.23017445010938137,0.014093616415139988,-0.90087197249183,0.24638936444038792,-0.003702963583282142,0.47920150512305687,-0.07531932525128808,1.0,-0.02192566263069847,0.09012280123001752
tmmx,-0.20627719646311887,-0.07412295999937475,0.609286988254681,-0.35891257927662507,0.6693345326558958,-0.4412496267988686,-0.03998026233779505,0.535455137981125,0.6905238128439459,0.6917206162341403,0.6819520447257083,0.5110503198482754,-0.04565839108964576,-0.10099973333066194,-0.11257832827568567,-0.08037350365136989,-0.019307393333558406,-0.012829415961917022,-0.07893911053848277,0.06354087030904598,-0.6050957162018887,-0.18840569315565805,-0.02192566263069847,1.0,-0.04023568123245696
viirs_v2,0.046834163895550424,0.030271035573815618,0.021513260797917797,-0.1419611478347897,-0.0020114535286210483,-0.12725621261240974,0.7101524426428796,-0.11137053290728277,-0.014817994883077133,-0.06258019806478314,-0.026615669882528274,0.006698713398853223,0.1993355046130224,0.20717609206680557,0.19050004954728075,0.19774247873627934,-0.0028326706482534984,-0.05041966519669382,0.2057281784046004,0.0032418559090844233,0.044015916622996344,-0.012688899199001223,0.09012280123001752,-0.04023568123245696,1.0
